"id","created_at","name","has_test","alternate_url"
"117666474","2025-02-25T09:35:51+0300","-",false,"https://hh.ru/vacancy/117666474"
"117766611","2025-02-27T08:07:16+0300","Junior",false,"https://hh.ru/vacancy/117766611"
"117800583","2025-02-27T17:03:01+0300","-",false,"https://hh.ru/vacancy/117800583"
"117883709","2025-03-03T11:19:58+0300","-",false,"https://hh.ru/vacancy/117883709"
"117885485","2025-03-03T11:38:29+0300","-",false,"https://hh.ru/vacancy/117885485"
"117961437","2025-03-04T17:56:16+0300","Middle",true,"https://hh.ru/vacancy/117961437"
"118056281","2025-03-06T22:49:33+0300","-",false,"https://hh.ru/vacancy/118056281"
"118106511","2025-03-10T08:34:19+0300","-",false,"https://hh.ru/vacancy/118106511"
"118120894","2025-03-10T11:25:57+0300","Junior",false,"https://hh.ru/vacancy/118120894"
"118219554","2025-03-12T07:27:07+0300","-",false,"https://hh.ru/vacancy/118219554"
"118220755","2025-03-12T08:01:14+0300","Junior/Middle",false,"https://hh.ru/vacancy/118220755"
"118237084","2025-03-12T11:35:16+0300","Junior",false,"https://hh.ru/vacancy/118237084"
"118330479","2025-03-14T10:10:49+0300","-",true,"https://hh.ru/vacancy/118330479"
"118337029","2025-03-14T11:41:54+0300","-",false,"https://hh.ru/vacancy/118337029"
"118338358","2025-03-14T11:59:53+0300","-",false,"https://hh.ru/vacancy/118338358"
"118340587","2025-03-14T12:33:45+0300","-",false,"https://hh.ru/vacancy/118340587"
"118070331","2025-03-16T11:42:54+0300","Junior",false,"https://hh.ru/vacancy/118070331"
"118400643","2025-03-16T21:07:30+0300","Junior",false,"https://hh.ru/vacancy/118400643"
"118421806","2025-03-17T10:20:08+0300","-",false,"https://hh.ru/vacancy/118421806"
"118334742","2025-03-17T11:09:54+0300","-",false,"https://hh.ru/vacancy/118334742"
